"","Return","rsi","sma","lma","adx"
"51","Up",75.8,182,181,16.3
"52","Up",79.6,182.4,181.1,16.3
"53","Down",88.6,183.1,181.1,17.7
"54","Up",69.7,183.8,181.2,18.9
"55","Up",78.7,184.6,181.4,18
"56","Up",86.4,185.8,181.7,17.9
"57","Up",86.2,187.1,181.9,18.1
"58","Up",87,188.4,182.2,18.3
"59","Up",88.3,189.5,182.6,18.4
"60","Up",89.3,190.4,182.9,18.2
"61","Up",90.2,191.3,183.4,18.3
"62","Up",91.9,192.2,183.8,19
"63","Down",93.2,193.3,184.3,19.8
"64","Down",71.4,194.2,184.6,20.4
"65","Up",60.3,195,185,20.2
"66","Down",57.3,195.9,185.5,19.8
"67","Up",41.8,196.5,185.8,18.5
"68","Down",47.5,197.3,186.4,17.4
"69","Up",35.7,197.9,186.8,16.3
"70","Up",41.7,198.6,187.2,16.1
"71","Up",39.3,199.2,187.6,15.9
"72","Up",38.3,199.8,188.1,15
"73","Up",51.3,200.2,188.6,14
"74","Up",61,200.9,189.2,13.8
"75","Up",66.7,201.6,189.9,15
"76","Down",66.3,201.8,190.5,16
"77","Up",62.6,202,191,15.8
"78","Up",60.8,202.2,191.6,15.5
"79","Up",69.5,202.4,192.2,15.7
"80","Down",74.9,202.7,192.8,16.2
"81","Up",64.9,202.9,193.4,15.2
"82","Up",70.1,203,194,15.1
"83","Up",72.2,203.1,194.6,15.4
"84","Down",72.2,203.3,195.2,15.8
"85","Up",42.6,203.4,195.7,15.6
"86","Up",42.3,203.5,196.3,16.6
"87","Up",41.8,203.8,196.9,17.4
"88","Up",42.2,204,197.4,18.2
"89","Down",50.3,204.4,197.9,19.1
"90","Down",36.2,204.6,198.3,19.4
"91","Up",30.8,204.6,198.6,18.9
"92","Down",51.6,205,199,19.1
"93","Up",40.4,205,199.3,19.3
"94","Down",38,204.8,199.6,19.3
"95","Down",32.9,204.4,199.9,18.9
"96","Down",29.6,203.9,200.1,18.9
"97","Up",19,203.1,200.2,17.6
"98","Up",24.8,202.4,200.3,16.5
"99","Up",45.5,201.9,200.5,16.5
"100","Up",45.6,201.4,200.8,16.4
"101","Down",52.3,201.1,201.1,16.2
"102","Down",50.6,200.7,201.3,16
"103","Up",48,200.2,201.4,15.8
"104","Up",56.3,199.8,201.6,15
"105","Down",62.1,199.8,201.8,14.2
"106","Up",55.5,199.7,201.8,14.2
"107","Up",58.1,199.5,201.8,13.9
"108","Up",66.7,199.5,201.9,13.2
"109","Up",68.1,199.4,201.9,12.4
"110","Up",76.1,199.7,202,11.8
"111","Up",82.5,200.2,202.1,11.8
"112","Down",82.7,200.4,202.2,12
"113","Down",71.6,200.7,202.3,11.9
"114","Up",63.3,201,202.3,11.5
"115","Up",64.4,201.5,202.5,11.2
"116","Up",71.6,202.2,202.6,12
"117","Up",67.1,203.2,202.9,12.7
"118","Up",68.7,204.3,203.1,13.5
"119","Down",75.5,205,203.4,14.8
"120","Up",59.7,205.6,203.6,14.9
"121","Up",59.2,206.1,203.8,15
"122","Up",55.6,206.6,204,14.4
"123","Down",54.7,207.2,204.2,13.9
"124","Up",30.3,207.4,204.2,13.9
"125","Up",50.3,207.7,204.3,13.1
"126","Up",64.1,208.4,204.4,13.3
"127","Down",64.9,209.1,204.6,13.4
"128","Up",56.3,209.5,204.8,13.3
"129","Up",53.7,209.9,204.9,13.1
"130","Up",53,210.1,205,12.6
"131","Up",51.6,210.2,205.1,12.2
