"","Open","High","Low","Close","Volume","Adjusted","Return","Return.1","rsi","sma","lma","adx"
"2010-01-04",180,185.979996,180,185.100006,1832855,84.943443,0,"Up",NA,NA,NA,NA
"2010-01-05",186,188.509995,185.600006,187.960007,1578660,86.255913,0.02,"Up",NA,NA,NA,NA
"2010-01-06",190.199997,190.199997,185.369995,187.070007,1799530,85.847481,0,"Up",NA,NA,NA,NA
"2010-01-07",180,188,180,184.5,873470,84.668106,-0.01,"Down",NA,NA,NA,NA
"2010-01-08",190,190,182.059998,184.770004,406050,84.792007,0,"Up",NA,NA,NA,NA
"2010-01-11",183.020004,192.070007,183.020004,189.960007,2123740,87.173729,0.03,"Up",NA,NA,NA,NA
"2010-01-12",190.5,191.100006,184.800003,185.210007,1282760,84.993927,-0.03,"Down",NA,NA,NA,NA
"2010-01-13",185,186,181.220001,183.949997,2398245,84.415703,-0.01,"Down",NA,NA,NA,NA
"2010-01-14",181.110001,186.940002,181.110001,184.600006,745590,84.713982,0,"Up",NA,NA,NA,NA
"2010-01-15",182.399994,186.940002,180.610001,181.699997,1744785,83.383156,-0.02,"Down",NA,NA,NA,NA
"2010-01-18",182.399994,184.990005,179.580002,183.949997,1466775,84.415703,0.01,"Up",NA,NA,NA,NA
"2010-01-19",181.199997,188,181.199997,184.009995,1197270,84.443237,0,"Up",NA,NA,NA,NA
"2010-01-20",181.110001,186.570007,181.110001,185.690002,1672810,85.214188,0.01,"Up",NA,NA,NA,NA
"2010-01-21",183,186.5,180.199997,180.830002,1235670,82.98391,-0.03,"Down",NA,NA,NA,NA
"2010-01-22",179,182.779999,177.020004,179.899994,2605130,82.557129,-0.01,"Down",NA,NA,NA,NA
"2010-01-25",178,181.800003,178,180.089996,2293905,82.644325,0,"Up",34.5,NA,NA,NA
"2010-01-27",178,179.800003,170.020004,172.160004,3925665,79.005219,-0.04,"Down",34.2,NA,NA,NA
"2010-01-28",170,178,170,176.169998,3966620,80.845413,0.02,"Up",20.5,NA,NA,NA
"2010-01-29",175.559998,180.199997,171.399994,179.729996,2545225,82.479111,0.02,"Up",34.3,NA,NA,NA
"2010-02-01",177,179.389999,175.199997,177.830002,1824755,81.607193,-0.01,"Down",44.2,NA,NA,NA
"2010-02-02",180,181.320007,172.800003,173.759995,2080580,79.739441,-0.02,"Down",40.3,182.8,NA,NA
"2010-02-03",174,178.649994,172.470001,177.320007,2828175,81.373161,0.02,"Up",34,182.2,NA,NA
"2010-02-04",177,177.160004,173.100006,174.839996,1557995,85.030373,-0.01,"Down",43.8,181.7,NA,NA
"2010-02-05",173,173,169,170.809998,1569625,83.070457,-0.02,"Down",39.4,181,NA,NA
