Date,Open,High,Low,Last,Vol
9/30/2011,1530,1565.45,1514,1535.95,386423
10/3/2011,1525,1548.9,1502.45,1519.5,474547
10/4/2011,1519.5,1533.15,1477.2,1493.6,482145
10/5/2011,1501.9,1514.5,1482.3,1497.95,289106
10/7/2011,1517.4,1538.5,1489.1,1503.1,414572
10/10/2011,1495.1,1572.9,1493.1,1553.55,420110
10/11/2011,1568,1589.5,1568,1578.75,648631
10/12/2011,1585,1616.95,1557,1586.25,626689
10/13/2011,1586.5,1604.9,1577.05,1586.3,303763
10/14/2011,1586.3,1639.95,1580.05,1633.4,310643
10/17/2011,1648,1662.65,1626.25,1654.35,320667
10/18/2011,1635,1649.95,1598.55,1607.65,261766
10/19/2011,1624,1648,1621.5,1636.65,509465
10/20/2011,1643,1655,1555.15,1613.55,1371301
10/21/2011,1629,1654.95,1614.4,1641.3,692109
10/24/2011,1662,1706,1656,1694.4,645780
10/25/2011,1705,1764.8,1678.65,1751.65,515279
10/26/2011,1755.25,1766,1752.1,1757.6,109807
10/28/2011,1799.7,1823.55,1751,1756.7,487888
10/31/2011,1763,1769.65,1721.25,1729.9,319157
11/1/2011,1728.4,1750,1691,1713.5,317896
11/2/2011,1705,1747.95,1700,1718.6,460966
11/3/2011,1728.25,1735,1703,1727.9,203849
11/4/2011,1769,1769.3,1710,1744.75,396363
11/8/2011,1738,1753.9,1717.15,1724,186399
11/9/2011,1735,1747,1704.3,1715,422171
11/11/2011,1715,1754,1696.55,1745.55,360380
11/14/2011,1757,1774.9,1732.6,1737.85,251453
11/15/2011,1735,1756,1706,1716.25,220537
11/16/2011,1725,1740,1690.05,1725.7,232273
11/17/2011,1725,1737.8,1712.1,1718.2,239797
11/18/2011,1710,1727.9,1685.05,1692.4,237212
11/21/2011,1681.5,1698.75,1615,1623.25,381310
11/22/2011,1629.95,1633.05,1580,1600.1,620320
11/23/2011,1599,1611.95,1565.8,1600.05,434677
11/24/2011,1601.8,1676.9,1567.55,1654.8,770419
11/25/2011,1650,1673.8,1630.45,1639.25,711745
11/28/2011,1647,1666.85,1597.65,1617.9,602501
11/29/2011,1616,1656,1604.4,1649.1,637470
11/30/2011,1648,1689,1631.45,1669,549026
12/1/2011,1700,1729.8,1696.65,1703.85,427820
12/2/2011,1695.25,1720,1678.55,1714.55,572981
12/5/2011,1715.4,1725,1685.1,1700.3,294590
12/7/2011,1714.9,1731.6,1688.35,1724.45,445761
12/8/2011,1723.9,1739,1715,1728.1,674181
12/9/2011,1719,1719,1656.5,1670.35,496143
12/12/2011,1694,1694.55,1618,1631.1,383792
12/13/2011,1612.35,1668,1612.35,1659.85,312977
12/14/2011,1660,1685,1640.05,1649.1,585662
12/15/2011,1638,1660,1626.25,1651.65,330750
12/16/2011,1653,1707.9,1635.3,1650.75,646551
12/19/2011,1650.75,1657.9,1626,1641.1,347378
12/20/2011,1654.95,1661.85,1594.9,1600.65,497259
12/21/2011,1630,1630,1567.6,1614.3,575749
12/22/2011,1591,1620,1582.15,1611.75,410356
12/23/2011,1620,1620,1588,1598.55,315520
12/26/2011,1599.1,1619,1593.25,1611.15,199783
12/27/2011,1615,1634.3,1600.95,1630,278288
12/28/2011,1626,1642.7,1596,1609.85,270036
12/29/2011,1599.95,1612.4,1594.3,1602.35,467321
12/30/2011,1612,1616.4,1581.2,1591.4,253010
1/2/2012,1600,1600,1442,1475.5,1562234
1/3/2012,1477.7,1503.2,1450,1494.5,1571131
1/4/2012,1500,1500,1414.55,1425.55,1409364
1/5/2012,1425,1474,1420,1468.6,706451
1/6/2012,1451.65,1473.05,1441.1,1456.75,610087
1/9/2012,1441,1448,1408.65,1422.35,642117
1/10/2012,1425.95,1464,1425.1,1429.5,785660
1/11/2012,1436.9,1464,1428,1456.9,579709
1/12/2012,1463,1486,1456.9,1475.6,401787
1/13/2012,1487.85,1489.15,1420.9,1430.75,781805
