Date,Open,High,Low,Last,Vol
9/30/2011,4990.1499,5025.5498,4924.2998,4943.25,0
10/3/2011,4874.3999,4879.1499,4823.8999,4849.5,0
10/4/2011,4823.5,4869.75,4728.2998,4772.1499,0
10/5/2011,4791.2998,4827.7998,4741,4751.2998,0
10/7/2011,4883.6499,4922.6001,4861.2002,4888.0498,0
10/10/2011,4886.8501,4991.1499,4882.0498,4979.6001,0
10/11/2011,5019.8999,5045.1001,4964,4974.3501,0
10/12/2011,5011.2002,5109.7998,4997.6499,5099.3999,0
10/13/2011,5130.7998,5136.9502,5067.6499,5077.8501,0
10/14/2011,5057.3501,5141.3999,5056.6001,5132.2998,0
10/17/2011,5156.2002,5160.2002,5084.5,5118.25,0
10/18/2011,5049.4502,5057.5,5011.0498,5037.5,0
10/19/2011,5080.4502,5148.0498,5075.2998,5139.1499,0
10/20/2011,5086.5498,5099,5033.9502,5091.8999,0
10/21/2011,5106.6001,5120.75,5037.9502,5049.9502,0
10/24/2011,5114.7002,5145.6499,5084.75,5098.3501,0
10/25/2011,5137.8999,5211,5085.5498,5191.6001,0
10/26/2011,5214.9502,5219.25,5196.1499,5201.7998,0
10/28/2011,5341.8999,5399.7002,5322.7998,5360.7002,0
10/31/2011,5358.8999,5360.25,5314.6001,5326.6001,0
11/1/2011,5278.6001,5310.8501,5238.2998,5257.9502,0
11/2/2011,5216.75,5300.1001,5204.9502,5258.4502,0
11/3/2011,5241.5498,5281.6001,5201.8501,5265.75,0
11/4/2011,5325.3999,5326.4502,5256.7998,5284.2002,0
11/8/2011,5292.25,5304.25,5252,5289.3501,0
11/9/2011,5309.7002,5317.5,5211.75,5221.0498,0
11/11/2011,5159.75,5198.6001,5142.25,5168.8501,0
11/14/2011,5217.3501,5228.8999,5140.5498,5148.3501,0
11/15/2011,5131.2002,5158.75,5052.8501,5068.5,0
11/16/2011,5059.1001,5065.2002,4989.5,5030.4502,0
11/17/2011,5027.1001,5036.7998,4919.4502,4934.75,0
11/18/2011,4899.1499,4915.8999,4837.9502,4905.7998,0
11/21/2011,4873.7998,4873.7998,4764.7998,4778.3501,0
11/22/2011,4794.8501,4854,4782.5498,4812.3501,0
11/23/2011,4779.5,4779.5,4640.9502,4706.4502,0
11/24/2011,4707.5498,4771.1001,4639.1001,4756.4502,0
11/25/2011,4731.2998,4767.2998,4693.1001,4710.0498,0
11/28/2011,4769.2998,4859.1001,4766.3999,4851.2998,0
11/29/2011,4864.2002,4866.1001,4787.1001,4805.1001,0
11/30/2011,4766.1499,4851.5498,4754.7998,4832.0498,0
12/1/2011,4970.8501,5011.8999,4916.7002,4936.8501,0
12/2/2011,4940.8501,5062.5498,4918.3999,5050.1499,0
